ID,Contents,Lien Post,Nb Like,Nb Love,Nb Care,Nb Wow,Nb Sad,Nb Angry,Nb Haha,Company,Date,Culture & Celebration,Sport,Product,Promotion,Network,Survey,Event,Contest & Games,Other
60,"لنفعلها يا شباب!💪
أشبال #بلماضي أمام 90 دقيقة لضمان ورقة التأهل ضد #موريتانيا.. 
ماهي توقعاتكم خلال المباراة ؟ 🇩🇿⏳️🏆",https://www.facebook.com/share/p/1DEHzK4vST/,2015,505,38,0,3,7,24,Mobilis,2024-01-23,0,0,0,0,0,0,0,0,1
61,"#موبيليس يقدم لكم أفضل عرض في تاريخ 🌍 الاتصالات🌐 
بالجزائر استمتعوا باكتشاف العرض🙂
#MobilisTwenty
#mobilis20
#معا_نصنع_المستقبل",https://www.facebook.com/share/p/1AoqY4bJ7z/,904,98,9,0,1,34,148,Mobilis,2024-01-24,0,0,0,0,0,0,0,0,1
62,"تواصلوا مع أقاربكم في البقاع المقدسة عن طريق عرض #العمرة 🕋📲
🥰بتشكيل الرمز #600* أو على مستوى الوكالات التجارية #موبيليس🤩
لتفاصيل أكثر ندعوكم لزيارة الرابط الخاص بعرض العمرة:  👇👇https://mobilis.dz/roaming_hadj_2023.php
#معاً_نصنع_المستقبل",https://www.facebook.com/share/p/14LLA13MqU/,582,61,6,0,0,23,2,Mobilis,2024-01-28,0,0,0,0,0,0,0,0,1
63,"الموسيقى عالم آخر🎶🎵 تتنقل من بلاد إلى بلاد باش تكتشفها
...mobsound تسافر بيك✈️ وانت في مكانك بأسعار هايلة 🎧
#موبيليس #معا_نصنع_المستقبل
#mobsound",https://www.facebook.com/share/p/181j5pi9qc/,295,17,4,0,0,36,29,Mobilis,2024-01-29,1,0,0,0,0,0,1,0,0
64,"✅قام السيد #شوقي_بوخزاني الرئيس المدير العام صبيحة اليوم بزيارة عمل إلى ولاية #تيارت حيث استقبل من طرف والي الولاية السيد #علي_بوڤرة.
✅استُغل اللقاء مع السيد الوالي للإستماع إلى الإنشغالات وإعطاء نظرة شاملة على المشاريع المبرمجة على مستوى الولاية.
✅الزيارة تهدف إلى الوقوف والمتابعة المستمرة لعمل الفرق التجارية والتقنية في الميدان على مستوى الولاية كما كانت فرصة لتثمين المجهودات المبذولة من طرفهم",https://www.facebook.com/share/p/15fT9ae5ba/,703,55,9,0,2,85,11,Mobilis,2024-01-29,0,0,0,0,1,0,1,0,0
65,"مزال ماشريتوش عرض #توانتي لي راهو داير حالة في سوق الإتصالات؟🔍🤩..واش راكم تستناو!🤔
 ✅بـ 2000دج..عندك 80 Go ومكالمات ماتخلاصش نحو كل الشبكات 📞 .. توانتي أهدر وكونكتي 📲💻",https://www.facebook.com/share/p/19mtAxXCZz/,932,96,6,3,1,59,21,Mobilis,2024-01-29,0,0,1,0,1,0,0,0,0
66,"نتوما عشاق الألعاب الإلكترونية🎮🕹️🎯..تحبو تقضيو وقت شباب معنا؟🤩.. mobiliStore خممت فيكم😍..عيشوا متعة الألعاب فيها💯
#موبيليس #معا_نصنع_المستقبل
#mobiliStore",https://www.facebook.com/share/p/15cZ8Td5Lj/,489,45,2,1,0,48,19,Mobilis,2024-01-31,0,0,0,0,0,0,0,0,1
67,"في 2024 غيــــر #توانتي لي تخرج عليك👌😍 عرض هباااال في السوق يستنى فيكم 🤩
  ✅بـ 2000دج..80 Go ومكالمات ماتخلاصش نحو كل الشبكات 📞 .. توانتي أهدر وكونكتي 📲💻",https://www.facebook.com/share/p/1YYXbs6YJP/,674,51,10,0,0,63,21,Mobilis,2024-02-01,0,0,0,0,0,0,0,0,1
68,"تواصلوا مع أقاربكم في البقاع المقدسة عن طريق عرض #العمرة 🕋📲
🥰بتشكيل الرمز #600* أو على مستوى الوكالات التجارية #موبيليس🤩
لتفاصيل أكثر ندعوكم لزيارة الرابط الخاص بعرض العمرة:  👇👇https://mobilis.dz/roaming_hadj_2023.php
#معاً_نصنع_المستقبل",https://www.facebook.com/share/p/1DeRSaFtKA/,427,46,5,0,0,102,2,Mobilis,2024-02-03,0,0,0,0,0,0,0,0,1
69,"Are you looking for a plan that fits both your needs and your budget? With SkyBusiness plans, you get unlimited free calls, great international bonuses and generous internet data.
Visit our website to learn more about SkyBusiness plans: https://mobilis.dz/entreprises/SkyBusiness.php
#Mobilis #SkyBusiness #TogetherWeMakeTheFuture",https://www.facebook.com/share/p/1B33oG5eF4/,309,26,4,1,0,585,6,Mobilis,2024-02-08,0,0,1,0,1,0,0,0,0
